headline,category
williams stays on despite dispute matt williams insists he has no thoughts of quitting as national coach as a result of the power struggle currently gripping scottish rugby.  the chairman  chief executive and three non-executive directors all departed in a row over the game s future direction. but williams said:  i want to make it clear that i m committed totally to scottish rugby.  i ve brought my family here and we ve immersed ourselves in scottish life. there s no way that i m walking away.  however  he attempted to steer clear of taking sides in the dispute.  i d like to stress that the national team is separate to the political situation   he said.   when you come to an undertaking like this and you are trying to make a difference then there are always people who will begrudge you  who are jealous and want to try to drag you down.  when you have that situation  you have to have the courage of your convictions to see it through.  there was some very unhelpful and uninformed comment that the national team had received a massive increase in budget at the expense of other parts of scottish rugby and that is simply not the case.  like all good coaches  you go and ask for an increase. but we were told in no uncertain terms that the financial situation did not allow that.  the idea that we are lighting cigars with £20 notes while the rest of scottish rugby flounders is absolutely untrue.  we also attracted criticism because of the number of days players spent with the national team.  but let me give you the truth. our irish counterparts  whom we have to compete with in a few days  time  had 70 days together at the summer.  they are currently in camp now and they will have another 21 days in camp before the six nations.  that means they will have 91 days away from their club from july until the six nations. we  on the other hand  will have 16.  there must be a win-win philosophy and attitude within scottish rugby and that is what we are after - both groups winning  not competing.,sports
us mens olympic hockey team ends olympic run with loss to czechs,sports
wolves appoint hoddle as manager glenn hoddle will be unveiled as the new wolves manager on tuesday.  the club have confirmed that the former england coach will be unveiled as the successor to dave jones at a news conference at molineux at 1100 gmt. hoddle has been linked with a return to former club southampton but wolves have won the race for his services. he has been out of the game since being sacked at spurs in september 2003 and worked alongside wolves caretaker boss stuart gray at southampton. hoddle began his managerial career as player-boss with swindon before moving on to chelsea and then taking up the england job.  his spell in charge of the national side came to an end after the 1998 world cup when he made controversial remarks about the disabled in a newspaper interview. the 47-year-old later returned to management with southampton  where he again succeeded jones - as he has now done at wolves. he engineered an upturn in saints  fortunes before being lured to white hart lane by tottenham - the club where he made his name as a player. that relationship turned sour at the start of the last campaign and he left the london club early last season. since then he has applied unsuccessfully for the post of france manager and had also been linked with a return to southampton. wolves are currently 17th in the championship and have a home game against millwall on tuesday.,sports
American Dropped 14000 February Flights Due to Storms,business
Bogus Pills Found In Bottles Of Weight-Loss Drug In 7 States,medical
" Right and left heart catheterization, left ventriculogram, aortogram, and bilateral selective coronary angiography.  The patient is a 48-year-old female with severe mitral stenosis diagnosed by echocardiography, moderate aortic insufficiency and moderate to severe pulmonary hypertension who is being evaluated as a part of a preoperative workup for mitral and possible aortic valve repair or replacement. ",medical
Nerdvana -- Cosmos relaunches with Neil deGrasse Tyson,tech
mixed reaction to man utd offer shares in manchester united were up over 5% by noon on monday following a new offer from malcolm glazer.  the board of man utd is expected to meet early this week to discuss the latest proposal from the us tycoon that values the club at £800m ($1.5bn). manchester united revealed on sunday that it had received a detailed proposal from mr glazer. a senior source at the club told the bbc:  this time it s different . the board is obliged to consider this deal. but the man utd supporters club urged the club to reject the new deal. manchester united past and present footballers eric cantona and ole gunnar solskjaer  and club manager sir alex ferguson  have lent their backing to the supporters  group  shareholders united. they have all spoken out against the bid.  a spokesman for the supporters club said:  i can t see any difference (compared to mr glazer s previous proposals) other than £200m less debt.  he isn t bringing any money into the club; he ll use our money to buy it.   mr glazer s latest move is being led by mr glazer s two sons  avi and joel  according to the financial times. a proposal was received by david gill  united s chief executive  at the end of last week  pitched at about 300p a share. david cummings  head of uk equities for standard life investments  said he believed a  well funded  300p a share bid would be enough for mr glazer to take control of the club.  i do not think there is anything that manchester united fans can do about it   he told the bbc.  they can complain about it but it is curtains for them. they may not want him but they are going to get him.  the us tycoon  who has been wooing the club for the last 12 months  has approached the united board with  detailed proposals   it has confirmed.  mr glazer  who owns the tampa bay buccaneers team  hopes this will lead to a formal bid being accepted. he is believed to have increased the amount of equity in the new proposal  though it is not clear by how much. for his proposal to succeed  he needs the support of united s largest shareholders  the irish horseracing tycoons jp mcmanus and john magnier. they own 29% of united through their cubic expression investment vehicle. mr glazer and his family hold a stake of 28.1%. but it is not yet known whether mr mcmanus and mr magnier would support a glazer bid. nm rothschild  the investment bank  is advising mr glazer  according to the financial times. his previous adviser  jpmorgan  quit last year when mr glazer went ahead and voted against the appointment of three united directors to the board  against its advice. but the ft said it thought jp morgan may still have had some role in financing mr glazer s latest financial proposal.,business
carry on star patsy rowlands dies actress patsy rowlands  known to millions for her roles in the carry on films  has died at the age of 71.  rowlands starred in nine of the popular carry on films  alongside fellow regulars sid james  kenneth williams and barbara windsor. she also carved out a successful television career  appearing for many years in itv s well-loved comedy bless this house. rowlands died in hove on saturday morning  her agent said.  born in january 1934  rowlands won a scholarship to the guildhall school of speech and drama scholarship when she was just 15.  after spending several years at the players theatre in london  she made her film debut in 1963 in tom jones  directed by tony richardson. she made her first carry on film in 1969 where she appeared in carry on again doctor. rowlands played the hard-done-by wife or the put-upon employee as a regular carry on star. she also appeared in carry on at your convenience  carry on matron and carry on loving  as well as others.  in recent years she appeared in bbc mini-series the cazalets and played mrs potts in the london stage version of beauty and the beast. agent simon beresford said:  she was just an absolutely favourite client she never complained about anything  particularly when she was ill  she was an old trouper.  she was of the old school - she had skills from musical theatre and high drama  that is why she worked with the great and the good of directors.  she didn t mind always being recognised for the carry on films because she thoroughly enjoyed making them. she was a really lovely person and she will be much missed.  her last appearance on stage was as mrs pearce in the award-winning production of my fair lady at the national theatre. previously married  she leaves one son  alan. her funeral will be a private  family occasion  with a memorial service at a later date.,entertainment
microsoft makes anti-piracy move microsoft says it is clamping down on people running pirated versions of its windows operating system by restricting their access to security features.  the windows genuine advantage scheme means people will have to prove their software is genuine from mid-2005. it will still allow those with unauthorised copies to get some crucial security fixes via automatic updates  but their options would be  limited . microsoft releases regular security updates to its software to protect pcs. either pcs detect updates automatically or users manually download fixes through microsoft s site. those running pirated windows programs would not have access to other downloads and  add-ons  that the software giant offers.  people who try to manually download security patches will have to let microsoft run an automated checking procedure on their computer or give an identification number.  microsoft s regular patches which it releases for newly-found security flaws are important because they stop worms  viruses and other threats penetrating pcs. some security experts are concerned that restricting access to such patches could mean a rise in such attacks and threats  with more pcs left unprotected. but graham cluley  senior consultant at security firm sophos  told the bbc news website that it was a positive decision.  it sounds like their decision to allow critical security patches to remain available to both legitimate and illegitimate users of windows is good news for everyone who uses the net   he said. windows genuine advantage was first introduced as a pilot scheme in september 2004 for english-language versions of windows.  microsoft s windows operating system is heavily exploited by virus writers because it is so widespread and they are constantly seeking out new security loopholes to take advantage of. the company is trying to tackle security threats whilst cracking down on pirated software at the same time. software piracy has cost the company billions  it says. the company announced earlier in january that it was releasing security tools to clean up pcs harbouring viruses and spyware  which 90% of pcs are infected with. the virus-fighting program  updated monthly  is a precursor to microsoft s dedicated anti-virus software. last year it introduced the windows xp counterfeit project  a uk-based pilot scheme  which ran from november to december. the scheme meant that anyone with pre-installed copies of the operating system in pcs bought before november could replace counterfeit versions of windows xp with legal ones for free. it is also increasing efforts to squash software piracy in china  norway and the czech republic  where pirated software is a huge problem  by offering discounts on legitimate software to users of pirated copies windows.  china in particular is a problem  with piracy estimated at 92%   said mr cluley.,tech
"UAE: Paramedic dies from MERS, others infected",medical
french suitor holds lse meeting european stock market euronext has met with the london stock exchange (lse) amid speculation that it may be ready to launch a cash bid.  euronext chief jean-francois theodore held talks with lse boss clara furse the day after rival deutsche boerse put forward its own bid case. the german exchange said it had held  constructive  professional and friendly  talks with the lse. but euronext declined to comment after the talks ended on friday. speculation is mounting that the germans may raise their bid to £1.5bn. deutsche boerse previously offered £1.3bn  which was rejected by the lse  while euronext is rumoured to have facilities in place to fund a £1.4bn cash bid. so far  however  neither have tabled a formal bid. but a deal with either bidder would create the biggest stock market operator in europe and the second biggest in the world after the new york stock exchange.  there was speculation euronext would use friday s meeting as an opportunity to take advantage of growing disquiet over deutsche boerse s own plans for dominance over the london market. unions for deutsche boerse staff in frankfurt has reportedly expressed fears that up to 300 jobs would be moved to london if the takeover is successful.  the works council has expressed concerns that the equities and derivatives trade could be managed from london in the future   reuters news agency reports a union source as saying. german politicians are also said to be angry over the market operator s promise to move its headquarters to london if a bid were successful.  meanwhile  lse shareholders fear that deutsche boerse s control over its clearstream unit - the clearing house that processes securities transactions - would create a monopoly situation. this would weaken the position of shareholders when negotiating lower transaction fees for share dealings. lse and euronext do not have control over their clearing and settlement operations  a situation which critics say is more transparent and competitive. the german group s ownership of clearstream has been seen as the main stumbling block to a london-frankfurt merger. commentators believe deutsche boerse  which has now formally asked german authorities to approve its plan to buy the lse  may offer to sell clearstream to gain shareholder approval. euronext  so far  has given little away as to what sweeteners it will offer the lse - europe s biggest equity market - into a deal.,business
lasting influence of legend charles ray charles  who has won a string of posthumous grammy awards  belonged to a pioneering generation of artists that had a huge influence on the course of rock and pop music.  his sound encompassed so many styles - blues  gospel  jazz  rock  n  roll  even country - and had a real impact on the nascent uk beat and r&b scenes.  compared in stature to elvis presley by some commentators  charles  songs cast their spell on such 1960s stalwarts as joe cocker  steve winwood  eric burdon and van morrison. his influence has extended to contemporary artists such as norah jones  with whom he recently recorded a duet. if james brown was the godfather of soul  then ray charles was indisputably one of its founding fathers. along with sam cooke  he was instrumental in bringing together the gospel fervour of the deep south baptist church with the  devil s  music of r&b to pave the way for a new generation of soul artists.  without charles  it is hard to imagine the tear-stained atlantic r&b sound of aretha franklin  otis redding or wilson pickett. he was also a talented jazz composer  arranger and band leader  playing at the newport jazz festival and carnegie hall and recording with noted jazz musicians such as milt jackson and david  fathead  newman. unfortunately  he also shared another trait common among many jazz artists of the era - that of heroin addiction  which led to him being arrested in 1965. his string of 1950s atlantic r&b successes included songs that would be covered by the first-generation rock  n  roll greats  including i ve got a woman (roy orbison  elvis presley) and hallelujah  i love her so (eddie cochran). after the exuberance of his 1959 signature song what d i say  charles turned towards a more pop-oriented style  recording hoagy carmichael s sentimental string ballad georgia on my mind  and the upbeat hit the road jack.  he also won acclaim in the country arena with his interpretations of hank williams standards such as your cheating heart and you win again. more than 40 years after its release  his 1962 abc album modern sounds in country and western music is still regarded as a classic. his version of don gibson s i can t stop loving you topped the pop and r&b charts in the us. in 1972  he made a rare foray into protest songs with his album a message from the people.  on it  he took a stand on poverty and civil rights - echoing similar recordings of the era from progeny such as stevie wonder  james brown  curtis mayfield and marvin gaye. more than 20 years later  he would embrace contemporary production with his 1993 album my world  which featured hip-hop beats - although charles claimed at the time not to know what hip-hop was. among the tributes that poured in from all sections of the music world when charles died aged 73 in june 2004 was one from his friend  the producer quincy jones  who described him as a  brother in every sense of the word .  there will never be another musician who did as much to break down the perceived walls of musical genres as much as ray charles did   he said. former manfred mann singer paul jones  who sang on 1960s hits such as come tomorrow and sha la la  said charles was one of his heroes.  i m quite sure my own writing was influenced by him   he told bbc news online.  i would put money on the proposition that ray charles will have an influence on music forever.,entertainment
"Local Youth Celebrate ""Kick Butts"" Day",medical
" Muscle twitching, clumsiness, progressive pain syndrome, and gait disturbance.  Probable painful diabetic neuropathy.  Symptoms are predominantly sensory and severely dysfunctioning, with the patient having inability to ambulate independently as well as difficulty with grip and temperature differentiation in his upper extremities.  ",medical
"COMMODITIES-China fears hit copper, oil; Shanghai commodities slump",business
bank opts to leave rates on hold the bank of england has left interest rates on hold at 4.75% for a sixth month in a row.  the bank s monetary policy committee (mpc) decided to take no action amid mixed signals from the economy. but some economists predict a further rise in the cost of borrowing will come later this year. interest rates rose five times between november 2003 and august 2004 as soaring house prices and buoyant consumer data sparked inflation fears. bank of england governor mervyn king has recently warned against placing too much weight on one month s economic data  suggesting the mpc is waiting for a clearer picture to emerge. economists see next week s inflation report from the mpc as key in assessing whether a further interest rate rise is necessary to keep the economy in check.  slower consumer spending and a quieter housing market are likely to have convinced the mpc that rates should be left unchanged in recent months. inflation  however  has been rising faster than expected  hitting an annual rate of 1.6% in december - its highest level in six months. data on wednesday also showed manufacturing output rose at its fastest rate since may last month  reinforcing a view that economic growth was stronger than forecasts.  and recent house surveys from the halifax and nationwide have indicated prices are still rising  albeit at a slower pace than in recent years. philip shaw  chief economist at investec securities  said he believed rates would remain at 4.75% for the rest of the year although strong economic data could lead to a further hike.  the economic landscape has changed quite considerably over the last couple of months    he said.  growth appears stronger and the mpc may become more concerned about inflation trends.  howard archer  economist at global insight said the mpc  may well consider that the balance of risks to the growth and inflation outlook have moved from the downside to the upside .  business groups welcomed the mpc s widely-expected move to leave rates on hold and cautioned against further rises. the british chambers of commerce (bcc) said it was  concerned by the clamour in some quarters  for early interest rate increases.  we believe that these demands should be firmly resisted   said david frost  bcc director general.  manufacturing still faces extremely serious problems and is performing poorly  in spite of the recent revised figures.  ian mccafferty  chief economist at the cbi  said the mpc faced an  interesting  challenge.  consumers appear to have pulled in their horns over the holiday period  and exporters are struggling with the strength of sterling   he said.  however  the broader economy continues to show healthy growth  and the tight labour market and buoyant commodity prices are nudging inflation higher.,business
MtGox bitcoin database leaked online as hackers crowdsource clues,tech
Metro President Lobbies for Increased Federal Funding for Public Transit,business
parker s saxophone heads auction a saxophone belonging to legendary jazz musician charlie parker is expected to fetch up to $1m (£535 000) at an auction of jazz memorabilia next month.  the sale  at guernsey s auction house in new york  will feature instruments from other musicians including john coltrane and benny goodman. other items will include an evening gown belonging to ella fitzgerald. organisers said the auction was the first in the us to be devoted to items belonging to jazz musicians.  other items that will be auctioned include unreleased tape recordings of music by parker as well as handwritten sheet music by jazz composers john coltrane and theolonius monk. among the instruments in the sale will be a trumpet which belonged to dizzy gillespie  which is expected to fetch around $500 000 (£267 000)  as well as jj johnson s trombone and a vibraphone which beloned to lionel hampton. works of art by musicians including miles davis and bruni sablan will also be featured. the proceeds from the auction  which will take place on 20 february  will go towards several organisations including the john coltrane foundation  a foundation set up in memory of benny goodman  and the red cross.,entertainment
" Fiberoptic bronchoscopy with endobronchial biopsies.  A CT scan done of the chest there which demonstrated bilateral hilar adenopathy with extension to the subcarinal space as well as a large 6-cm right hilar mass, consistent with a primary lung carcinoma.",medical
ukraine steel sell-off  illegal  the controversial sell-off of a ukrainian steel mill to a relative of the former president was illegal  a court has ruled.  the mill  krivorizhstal  was sold in june 2004 for $800m (£424m) - well below other offers. president viktor yushchenko  elected in december  is planning to revisit many of ukraine s recent privatisations. krivorizhstal is one of dozens of firms which he says were sold cheaply to friends of the previous administration.  on wednesday  prime minister yulia tymoshenko said as many as 3 000 firms could be included on the list of firms whose sale was being reviewed.  mr yushchenko had previously said the list would be limited to 30-40 enterprises. more than 90 000 businesses in all  from massive corporations to tiny shopfronts  have been sold off since 1992  as the command economy built up when ukraine was part of the soviet union was dismantled. analysts have suggested that the government needs to avoid the impression of an open-ended list  so as to preserve investor confidence.  thursday s ruling by a district court in perchesk overturned a previous decision in a lower court permitting the sale. the consortium which won the auction for the mill was created by viktor pinchuk  son-in-law of former-president leonid kuchma  and rinat akhmetov  the country s richest man. the next step is for the supreme court to annul the sale altogether  opening the way for krivorizhstal to be resold. mr yushchenko has suggested a fair valuation could be as much as $3bn. one of the foreign bidders who lost out  steel giant lnm  told bbc news that it would be interested in any renewed sale.,business
